portname,2019,2020,2021,2022,2023,2024,2025,average_2019_2024
Bab el-Mandeb Strait,19513,19860,21551,24697,27157,9602,555,20396.666666666700
Bohai Strait,41443,54686,52974,48752,48813,41256,2752,47987.333333333300
Bosporus Strait,38799,36622,36598,33386,35571,31852,1936,35471.333333333300
Cape of Good Hope,17284,18381,17245,16031,17862,29036,1867,19306.5
Dover Strait,59349,57552,59770,62541,63952,58216,3728,60230.0
Gibraltar Strait,42736,45351,46989,51389,53577,44402,2823,47407.333333333300
Korea Strait,81702,80941,81532,82661,81886,73906,4523,80438.0
Lombok Strait,12181,12614,12999,13260,13770,13035,844,12976.5
Luzon Strait,22457,23408,25001,30162,27391,26594,1625,25835.5
Magellan Strait,1277,1123,1410,1445,1593,1590,70,1406.3333333333300
Makassar Strait,18660,18732,19502,19751,21297,18676,1208,19436.333333333300
Malacca Strait,63016,59517,59461,76186,80426,73776,4978,68730.33333333330
Mona Passage,3961,3580,3608,3793,3698,3482,212,3687.0
Ombai Strait,4644,4373,4027,4090,3875,3836,231,4140.833333333330
Oresund Strait,19979,20756,19758,16750,16371,15250,1012,18144.0
Panama Canal,11490,11100,11668,11990,10870,8755,656,10978.833333333300
Strait of Hormuz,32445,31807,33507,36728,36642,32929,1839,34009.666666666700
Suez Canal,19330,19297,21130,24577,26884,12083,689,20550.166666666700
Sunda Strait,10075,10268,10215,9790,11095,10971,728,10402.333333333300
Taiwan Strait,85079,84245,84959,77046,78776,70116,4662,80036.83333333330
Torres Strait,3196,3178,3248,3277,3449,3215,214,3260.5
Tsugaru Strait,16276,16363,17295,16428,15310,15035,885,16117.833333333300
Windward Passage,5900,5834,5789,5587,5418,5027,324,5592.5
Yucatan Channel,15840,16054,16253,16300,16258,16294,1076,16166.5